,hypervolume,r2_indicator,avg_pairwise_distance,spacing,spread,tds,mpd,mce,num_modes,pmd,pfs,pas,rbd,fci,qds,der,num_parameters,training_time,final_loss,seed,exp_name,capacity,hidden_dim,num_layers,conditioning,alpha,preference_sampling,loss
count,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40,40,40.0,40.0,40,40.0,40,40
unique,,,,,,,,,,,,,,,,,,,,,40,4,,,2,,1,1
top,,,,,,,,,,,,,,,,,,,,,xlarge_concat_seed1011,xlarge,,,concat,,dirichlet,trajectory_balance
freq,,,,,,,,,,,,,,,,,,,,,1,10,,,20,,40,40
mean,1.1803926522115167,-0.2688827128705352,0.09540121547401006,0.09701647851616141,1.7498554700951192,0.40391804107989404,1.4526254357544226,0.18697009329239456,2.55,0.0,6.84737261079414e-05,0.09498922244268099,0.40404858369745267,0.444869607165186,0.5135525931611113,48.608676733598465,87055.0,4514.353702825,0.008792871526748005,484.2,,,120.0,3.25,,1.5,,
std,0.006301312665898524,0.0007236072872689821,0.022257323249870523,0.028143252839953174,0.05172509139237909,0.028227614907202197,0.31879745706263735,0.04238353622095961,0.8458041235325203,0.0,0.00036708354260809093,0.022634727804672673,0.028289046451223987,0.02557408411253414,0.007511612724944488,113.99280512480208,109162.2010282558,2214.896424495842,0.012301386078544944,378.17993275484827,,,86.88335829557896,0.8397191227596316,,0.0,,
min,1.1692031143482569,-0.2704561490660364,0.0601134367264177,0.0659740939736366,1.5849673687465025,0.3581479432834613,0.9806602281202044,0.0993406598552545,2.0,0.0,0.0,0.0610365329813179,0.358286762620099,0.4047317279256444,0.4984927880419045,0.1449739095623982,519.0,1743.798738,0.0001786129578249,42.0,,,32.0,2.0,,1.5,,
25%,1.1757072823630745,-0.2695559980102786,0.07876932443077692,0.07860905863344668,1.7331773654954674,0.38390381388673833,1.1727408785058526,0.15458070286169215,2.0,0.0,3.879556070735511e-15,0.07877341845867304,0.38399941416608624,0.4270702546415707,0.5083542317053722,0.5219482971175429,7735.0,2737.21931375,0.0034712461056187,123.0,,,56.0,2.75,,1.5,,
50%,1.1800093603453026,-0.2688443101773961,0.09518641801279376,0.0893565975129604,1.7612109253332509,0.39888228125670505,1.3928367452968171,0.18164984734932055,2.0,0.0,1.592522345060665e-13,0.09410948651911075,0.3991185974519347,0.43877362160830374,0.5137358562674921,3.6262726943987946,38983.0,4006.0513014999997,0.0057633183896541006,456.0,,,96.0,3.5,,1.5,,
75%,1.18614968161991,-0.26834366629609474,0.10951017369970045,0.10648179240524767,1.78305239425943,0.4164459338778456,1.645503417764187,0.2131636103736087,3.0,0.0,1.4591249973365746e-12,0.10705875319828788,0.4165487012987065,0.4621001898012941,0.5183396857121608,17.526378802267274,118663.0,6305.61582325,0.008898428641259625,789.0,,,160.0,4.0,,1.5,,
max,1.1939980719647136,-0.2676026406745341,0.1612578751020811,0.1892759203910827,1.8196042077280268,0.4866288437842742,2.623512036080243,0.3112268913124868,5.0,0.0,0.0023116450615177,0.1689148005390726,0.4868316498316575,0.5090027561510453,0.5349720268814517,522.9829463076263,269319.0,8444.852607,0.0772006064653396,1011.0,,,256.0,4.0,,1.5,,
